City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,adam,22.3756,57.5233,22.75,52,1,1.13,OM,1731274877
221,fortuna,40.5982,-124.1573,22.18,37,0,5.14,US,1731274878
222,ma'rib,15.4591,45.3253,19.63,37,1,1.67,YE,1731274879
223,huarmey,-10.0681,-78.1522,20.54,76,18,4.13,PE,1731274880
224,jieshi,22.8134,115.8257,22.04,84,51,3.76,CN,1731274882
225,vyazemskiy,47.5378,134.7525,-1.43,60,0,6.4,RU,1731274883
226,santiago de compostela,42.8805,-8.5457,15.73,93,75,2.06,ES,1731274667
227,turpan,42.9333,89.1667,8.13,50,1,1.21,CN,1731274887
228,holualoa,19.6228,-155.9522,26.97,73,20,4.12,US,1731274888
229,kuching,1.55,110.3333,25.12,97,40,0.45,MY,1731274889
230,grand falls-windsor,48.9332,-55.6649,0.09,79,4,6.57,CA,1731274820
231,ongjin,37.9347,125.3619,10.9,85,0,2.34,KP,1731274892
232,revda,56.801,59.9303,-7.56,91,100,4.44,RU,1731274894
233,zhaobaoshan,29.9695,121.6875,17.01,90,97,3.88,CN,1731274895
234,saldanha,-33.0117,17.9442,15.69,81,88,6.11,ZA,1731274897
235,shalqar,47.8333,59.6,2.8,75,100,6.23,KZ,1731274898
236,prince george,53.9166,-122.753,1.69,93,0,3.6,CA,1731274899
237,nazarabad,35.9521,50.6075,11.45,45,10,1.2,IR,1731274900
238,ciudad bolivar,8.1222,-63.5497,33.77,38,56,2.72,VE,1731274902
239,hashtrud,37.4779,47.0508,6.02,68,8,1.0,IR,1731274903
240,fort bragg,35.139,-79.006,20.75,73,100,1.54,US,1731274724
241,baruun-urt,46.6806,113.2792,-1.55,61,74,5.98,MN,1731274905
242,zeya,53.75,127.2667,-14.07,90,11,1.85,RU,1731274908
243,berezovyy,51.6667,135.7,-4.83,58,41,3.53,RU,1731274910
244,haiku-pauwela,20.9219,-156.3051,28.45,62,20,12.52,US,1731274912
245,polyarnyy,69.1989,33.4478,1.81,76,99,5.38,RU,1731274913
246,el galpon,-25.3807,-64.6526,31.08,44,11,4.04,AR,1731274914
247,jamestown,42.097,-79.2353,10.57,97,100,5.14,US,1731274915
248,tadine,-21.55,167.8833,25.79,63,10,4.5,NC,1731274917
249,taos,36.4072,-105.5731,9.69,54,9,0.89,US,1731274918
250,yadgir,16.7667,77.1333,21.07,67,39,1.89,IN,1731274919
251,selebi-phikwe,-21.979,27.8498,23.35,68,98,4.26,BW,1731274920
252,es castell,39.8795,4.2854,16.38,88,75,8.23,ES,1731274922
253,pavilosta,56.8879,21.1859,3.77,87,58,3.97,LV,1731274923
254,tafresh,34.692,50.013,8.96,54,5,0.88,IR,1731274924
255,laojunmiao,39.8333,97.7333,1.82,65,79,1.69,CN,1731274925
256,sibiti,-3.6819,13.3499,19.76,96,92,0.94,CG,1731274927
257,blackwater,-23.5833,148.8833,24.27,100,81,6.05,AU,1731274928
258,malvik,63.4333,10.6833,0.84,100,100,3.6,NO,1731274929
259,maintirano,-18.0667,44.0167,25.79,77,1,3.08,MG,1731274930
260,lata,40.1629,-8.3327,13.26,99,81,0.86,PT,1731274931
261,tazacorte,28.629,-17.9293,26.75,25,0,4.47,ES,1731274933
262,keflavik,64.0049,-22.5624,6.24,75,75,11.32,IS,1731274747
263,kawambwa,-9.7915,29.0791,18.54,88,99,1.55,ZM,1731274935
264,constantia,44.1833,28.65,5.38,78,99,8.14,RO,1731274762
265,brookings,44.3114,-96.7984,11.21,84,100,6.17,US,1731274715
266,jinghong,21.991,100.7341,17.73,96,14,1.17,CN,1731274939
267,isafjordur,66.0755,-23.124,3.02,89,95,15.49,IS,1731274940
268,namibe,-15.1961,12.1522,20.81,71,65,4.8,AO,1731274943
269,uliastay,47.7417,96.8444,-9.81,70,71,3.04,MN,1731274944
270,businga,3.3333,20.8833,21.17,98,99,0.49,CD,1731274945
